[2024.06.13 00:00:00 - info ] Trading session ???????0900[FD0900] state reset
[2024.06.13 00:00:00 - info ] Trading session ???????0915[FD0915] state reset
[2024.06.13 00:00:00 - info ] Trading session ???????0930[SD0930] state reset
[2024.06.13 00:01:28 - info ] 682200 ticks received from exchange INE
[2024.06.13 00:01:30 - info ] 2847000 ticks received from exchange SHFE
[2024.06.13 00:01:33 - info ] 2847200 ticks received from exchange SHFE
[2024.06.13 00:01:36 - info ] 2847400 ticks received from exchange SHFE
[2024.06.13 00:01:39 - info ] 2847600 ticks received from exchange SHFE
[2024.06.13 00:01:42 - info ] 2847800 ticks received from exchange SHFE
[2024.06.13 00:01:42 - info ] 682400 ticks received from exchange INE
[2024.06.13 00:01:45 - info ] 2848000 ticks received from exchange SHFE
[2024.06.13 00:01:47 - info ] 2848200 ticks received from exchange SHFE
[2024.06.13 00:01:50 - info ] 2848400 ticks received from exchange SHFE
[2024.06.13 00:01:53 - info ] 2848600 ticks received from exchange SHFE
[2024.06.13 00:01:55 - info ] 2848800 ticks received from exchange SHFE
[2024.06.13 00:01:58 - info ] 2849000 ticks received from exchange SHFE
[2024.06.13 00:01:58 - info ] 682600 ticks received from exchange INE
[2024.06.13 00:02:01 - info ] 2849200 ticks received from exchange SHFE
[2024.06.13 00:02:04 - info ] 2849400 ticks received from exchange SHFE
[2024.06.13 00:02:06 - info ] 2849600 ticks received from exchange SHFE
[2024.06.13 00:02:09 - info ] 2849800 ticks received from exchange SHFE
[2024.06.13 00:02:13 - info ] 2850000 ticks received from exchange SHFE
[2024.06.13 00:02:16 - info ] 2850200 ticks received from exchange SHFE
[2024.06.13 00:02:17 - info ] 682800 ticks received from exchange INE
[2024.06.13 00:02:19 - info ] 2850400 ticks received from exchange SHFE
[2024.06.13 00:02:21 - info ] 2850600 ticks received from exchange SHFE
[2024.06.13 00:02:24 - info ] 2850800 ticks received from exchange SHFE
[2024.06.13 00:02:27 - info ] 2851000 ticks received from exchange SHFE
[2024.06.13 00:02:30 - info ] 2851200 ticks received from exchange SHFE
[2024.06.13 00:02:33 - info ] 2851400 ticks received from exchange SHFE
[2024.06.13 00:02:34 - info ] 683000 ticks received from exchange INE
[2024.06.13 00:02:37 - info ] 2851600 ticks received from exchange SHFE
[2024.06.13 00:02:41 - info ] 2851800 ticks received from exchange SHFE
[2024.06.13 00:02:44 - info ] 2852000 ticks received from exchange SHFE
[2024.06.13 00:02:47 - info ] 2852200 ticks received from exchange SHFE
[2024.06.13 00:02:50 - info ] 683200 ticks received from exchange INE
[2024.06.13 00:02:50 - info ] 2852400 ticks received from exchange SHFE
[2024.06.13 00:02:54 - info ] 2852600 ticks received from exchange SHFE
[2024.06.13 00:02:57 - info ] 2852800 ticks received from exchange SHFE
[2024.06.13 00:03:01 - info ] 2853000 ticks received from exchange SHFE
[2024.06.13 00:03:04 - info ] 2853200 ticks received from exchange SHFE
[2024.06.13 00:03:05 - info ] 683400 ticks received from exchange INE
[2024.06.13 00:03:07 - info ] 2853400 ticks received from exchange SHFE
[2024.06.13 00:03:11 - info ] 2853600 ticks received from exchange SHFE
[2024.06.13 00:03:13 - info ] 2853800 ticks received from exchange SHFE
[2024.06.13 00:03:17 - info ] 2854000 ticks received from exchange SHFE
[2024.06.13 00:03:18 - info ] 683600 ticks received from exchange INE
[2024.06.13 00:03:21 - info ] 2854200 ticks received from exchange SHFE
[2024.06.13 00:03:25 - info ] 2854400 ticks received from exchange SHFE
[2024.06.13 00:03:29 - info ] 2854600 ticks received from exchange SHFE
[2024.06.13 00:03:34 - info ] 2854800 ticks received from exchange SHFE
[2024.06.13 00:03:38 - info ] 683800 ticks received from exchange INE
[2024.06.13 00:03:38 - info ] 2855000 ticks received from exchange SHFE
[2024.06.13 00:03:41 - info ] 2855200 ticks received from exchange SHFE
[2024.06.13 00:03:44 - info ] 2855400 ticks received from exchange SHFE
[2024.06.13 00:03:46 - info ] 2855600 ticks received from exchange SHFE
[2024.06.13 00:03:49 - info ] 2855800 ticks received from exchange SHFE
[2024.06.13 00:03:52 - info ] 2856000 ticks received from exchange SHFE
[2024.06.13 00:03:54 - info ] 684000 ticks received from exchange INE
[2024.06.13 00:03:55 - info ] 2856200 ticks received from exchange SHFE
[2024.06.13 00:03:57 - info ] 2856400 ticks received from exchange SHFE
[2024.06.13 00:04:00 - info ] 2856600 ticks received from exchange SHFE
[2024.06.13 00:04:03 - info ] 2856800 ticks received from exchange SHFE
[2024.06.13 00:04:06 - info ] 684200 ticks received from exchange INE
[2024.06.13 00:04:06 - info ] 2857000 ticks received from exchange SHFE
[2024.06.13 00:04:10 - info ] 2857200 ticks received from exchange SHFE
[2024.06.13 00:04:13 - info ] 2857400 ticks received from exchange SHFE
[2024.06.13 00:04:15 - info ] 2857600 ticks received from exchange SHFE
[2024.06.13 00:04:18 - info ] 2857800 ticks received from exchange SHFE
[2024.06.13 00:04:21 - info ] 684400 ticks received from exchange INE
[2024.06.13 00:04:22 - info ] 2858000 ticks received from exchange SHFE
[2024.06.13 00:04:25 - info ] 2858200 ticks received from exchange SHFE
[2024.06.13 00:04:29 - info ] 2858400 ticks received from exchange SHFE
[2024.06.13 00:04:33 - info ] 2858600 ticks received from exchange SHFE
[2024.06.13 00:04:36 - info ] 684600 ticks received from exchange INE
[2024.06.13 00:04:36 - info ] 2858800 ticks received from exchange SHFE
[2024.06.13 00:04:40 - info ] 2859000 ticks received from exchange SHFE
[2024.06.13 00:04:44 - info ] 2859200 ticks received from exchange SHFE
[2024.06.13 00:04:48 - info ] 2859400 ticks received from exchange SHFE
[2024.06.13 00:04:51 - info ] 684800 ticks received from exchange INE
[2024.06.13 00:04:52 - info ] 2859600 ticks received from exchange SHFE
[2024.06.13 00:04:56 - info ] 2859800 ticks received from exchange SHFE
[2024.06.13 00:05:00 - info ] 2860000 ticks received from exchange SHFE
[2024.06.13 00:05:03 - info ] 2860200 ticks received from exchange SHFE
[2024.06.13 00:05:07 - info ] 2860400 ticks received from exchange SHFE
[2024.06.13 00:05:10 - info ] 685000 ticks received from exchange INE
[2024.06.13 00:05:10 - info ] 2860600 ticks received from exchange SHFE
[2024.06.13 00:05:13 - info ] 2860800 ticks received from exchange SHFE
[2024.06.13 00:05:15 - info ] 2861000 ticks received from exchange SHFE
[2024.06.13 00:05:18 - info ] 2861200 ticks received from exchange SHFE
[2024.06.13 00:05:21 - info ] 2861400 ticks received from exchange SHFE
[2024.06.13 00:05:22 - info ] 685200 ticks received from exchange INE
[2024.06.13 00:05:26 - info ] 2861600 ticks received from exchange SHFE
[2024.06.13 00:05:30 - info ] 2861800 ticks received from exchange SHFE
[2024.06.13 00:05:33 - info ] 2862000 ticks received from exchange SHFE
[2024.06.13 00:05:37 - info ] 2862200 ticks received from exchange SHFE
[2024.06.13 00:05:38 - info ] 685400 ticks received from exchange INE
[2024.06.13 00:05:40 - info ] 2862400 ticks received from exchange SHFE
[2024.06.13 00:05:43 - info ] 2862600 ticks received from exchange SHFE
[2024.06.13 00:05:48 - info ] 2862800 ticks received from exchange SHFE
[2024.06.13 00:05:52 - info ] 2863000 ticks received from exchange SHFE
[2024.06.13 00:05:53 - info ] 685600 ticks received from exchange INE
[2024.06.13 00:05:55 - info ] 2863200 ticks received from exchange SHFE
[2024.06.13 00:05:58 - info ] 2863400 ticks received from exchange SHFE
[2024.06.13 00:06:01 - info ] 2863600 ticks received from exchange SHFE
[2024.06.13 00:06:04 - info ] 2863800 ticks received from exchange SHFE
[2024.06.13 00:06:06 - info ] 2864000 ticks received from exchange SHFE
[2024.06.13 00:06:10 - info ] 2864200 ticks received from exchange SHFE
[2024.06.13 00:06:10 - info ] 685800 ticks received from exchange INE
[2024.06.13 00:06:13 - info ] 2864400 ticks received from exchange SHFE
[2024.06.13 00:06:14 - debug] RT tick block of SHFE.cu2504 resized to 10000
[2024.06.13 00:06:17 - info ] 2864600 ticks received from exchange SHFE
[2024.06.13 00:06:19 - info ] 2864800 ticks received from exchange SHFE
[2024.06.13 00:06:21 - info ] 2865000 ticks received from exchange SHFE
[2024.06.13 00:06:24 - info ] 2865200 ticks received from exchange SHFE
[2024.06.13 00:06:25 - info ] 686000 ticks received from exchange INE
[2024.06.13 00:06:27 - info ] 2865400 ticks received from exchange SHFE
[2024.06.13 00:06:30 - info ] 2865600 ticks received from exchange SHFE
[2024.06.13 00:06:33 - info ] 2865800 ticks received from exchange SHFE
[2024.06.13 00:06:36 - info ] 2866000 ticks received from exchange SHFE
[2024.06.13 00:06:39 - info ] 686200 ticks received from exchange INE
[2024.06.13 00:06:40 - info ] 2866200 ticks received from exchange SHFE
[2024.06.13 00:06:44 - info ] 2866400 ticks received from exchange SHFE
[2024.06.13 00:06:48 - info ] 2866600 ticks received from exchange SHFE
[2024.06.13 00:06:51 - info ] 2866800 ticks received from exchange SHFE
[2024.06.13 00:06:54 - info ] 2867000 ticks received from exchange SHFE
[2024.06.13 00:06:54 - info ] 686400 ticks received from exchange INE
[2024.06.13 00:06:56 - info ] 2867200 ticks received from exchange SHFE
[2024.06.13 00:06:59 - info ] 2867400 ticks received from exchange SHFE
[2024.06.13 00:07:03 - info ] 2867600 ticks received from exchange SHFE
[2024.06.13 00:07:05 - info ] 686600 ticks received from exchange INE
[2024.06.13 00:07:06 - info ] 2867800 ticks received from exchange SHFE
[2024.06.13 00:07:09 - info ] 2868000 ticks received from exchange SHFE
[2024.06.13 00:07:12 - info ] 2868200 ticks received from exchange SHFE
[2024.06.13 00:07:15 - info ] 2868400 ticks received from exchange SHFE
[2024.06.13 00:07:15 - info ] 686800 ticks received from exchange INE
[2024.06.13 00:07:17 - info ] 2868600 ticks received from exchange SHFE
[2024.06.13 00:07:19 - info ] tick cache of SHFE.au2406 mapping expired, automatically closed
[2024.06.13 00:07:19 - info ] min1 cache of SHFE.au2406 mapping expired, automatically closed
[2024.06.13 00:07:19 - info ] min5 cache of SHFE.au2406 mapping expired, automatically closed
[2024.06.13 00:07:20 - info ] 2868800 ticks received from exchange SHFE
[2024.06.13 00:07:23 - info ] 2869000 ticks received from exchange SHFE
[2024.06.13 00:07:27 - info ] 2869200 ticks received from exchange SHFE
[2024.06.13 00:07:29 - info ] tick cache of SHFE.pb2406 mapping expired, automatically closed
[2024.06.13 00:07:29 - info ] min1 cache of SHFE.pb2406 mapping expired, automatically closed
[2024.06.13 00:07:29 - info ] min5 cache of SHFE.pb2406 mapping expired, automatically closed
[2024.06.13 00:07:30 - info ] 2869400 ticks received from exchange SHFE
[2024.06.13 00:07:30 - info ] 687000 ticks received from exchange INE
[2024.06.13 00:07:33 - info ] 2869600 ticks received from exchange SHFE
[2024.06.13 00:07:35 - info ] 2869800 ticks received from exchange SHFE
[2024.06.13 00:07:39 - info ] 2870000 ticks received from exchange SHFE
[2024.06.13 00:07:42 - info ] 2870200 ticks received from exchange SHFE
[2024.06.13 00:07:43 - info ] 687200 ticks received from exchange INE
[2024.06.13 00:07:45 - info ] 2870400 ticks received from exchange SHFE
[2024.06.13 00:07:49 - info ] 2870600 ticks received from exchange SHFE
[2024.06.13 00:07:51 - info ] 2870800 ticks received from exchange SHFE
[2024.06.13 00:07:54 - info ] 2871000 ticks received from exchange SHFE
[2024.06.13 00:07:57 - info ] 687400 ticks received from exchange INE
[2024.06.13 00:07:57 - info ] 2871200 ticks received from exchange SHFE
[2024.06.13 00:08:00 - info ] 2871400 ticks received from exchange SHFE
[2024.06.13 00:08:04 - info ] 2871600 ticks received from exchange SHFE
[2024.06.13 00:08:07 - info ] 2871800 ticks received from exchange SHFE
[2024.06.13 00:08:11 - info ] 2872000 ticks received from exchange SHFE
[2024.06.13 00:08:12 - info ] 687600 ticks received from exchange INE
[2024.06.13 00:08:14 - info ] 2872200 ticks received from exchange SHFE
[2024.06.13 00:08:18 - info ] 2872400 ticks received from exchange SHFE
[2024.06.13 00:08:21 - info ] 2872600 ticks received from exchange SHFE
[2024.06.13 00:08:24 - info ] 2872800 ticks received from exchange SHFE
[2024.06.13 00:08:27 - info ] 2873000 ticks received from exchange SHFE
[2024.06.13 00:08:27 - info ] 687800 ticks received from exchange INE
[2024.06.13 00:08:30 - info ] 2873200 ticks received from exchange SHFE
[2024.06.13 00:08:33 - info ] 2873400 ticks received from exchange SHFE
[2024.06.13 00:08:35 - info ] 2873600 ticks received from exchange SHFE
[2024.06.13 00:08:37 - info ] 2873800 ticks received from exchange SHFE
[2024.06.13 00:08:40 - info ] 2874000 ticks received from exchange SHFE
[2024.06.13 00:08:42 - info ] 2874200 ticks received from exchange SHFE
[2024.06.13 00:08:42 - info ] 688000 ticks received from exchange INE
[2024.06.13 00:08:45 - info ] 2874400 ticks received from exchange SHFE
[2024.06.13 00:08:47 - info ] 2874600 ticks received from exchange SHFE
[2024.06.13 00:08:51 - info ] 2874800 ticks received from exchange SHFE
[2024.06.13 00:08:51 - info ] 688200 ticks received from exchange INE
[2024.06.13 00:08:54 - info ] 2875000 ticks received from exchange SHFE
[2024.06.13 00:08:57 - info ] 2875200 ticks received from exchange SHFE
[2024.06.13 00:09:00 - info ] 2875400 ticks received from exchange SHFE
[2024.06.13 00:09:03 - info ] 2875600 ticks received from exchange SHFE
[2024.06.13 00:09:05 - info ] 688400 ticks received from exchange INE
[2024.06.13 00:09:06 - info ] 2875800 ticks received from exchange SHFE
[2024.06.13 00:09:09 - info ] 2876000 ticks received from exchange SHFE
[2024.06.13 00:09:11 - info ] 2876200 ticks received from exchange SHFE
[2024.06.13 00:09:13 - info ] 2876400 ticks received from exchange SHFE
[2024.06.13 00:09:16 - info ] 2876600 ticks received from exchange SHFE
[2024.06.13 00:09:17 - info ] 688600 ticks received from exchange INE
[2024.06.13 00:09:19 - info ] 2876800 ticks received from exchange SHFE
[2024.06.13 00:09:23 - info ] 2877000 ticks received from exchange SHFE
[2024.06.13 00:09:26 - info ] 2877200 ticks received from exchange SHFE
[2024.06.13 00:09:29 - info ] 2877400 ticks received from exchange SHFE
[2024.06.13 00:09:32 - info ] 688800 ticks received from exchange INE
[2024.06.13 00:09:33 - info ] 2877600 ticks received from exchange SHFE
[2024.06.13 00:09:36 - info ] 2877800 ticks received from exchange SHFE
[2024.06.13 00:09:39 - info ] 2878000 ticks received from exchange SHFE
[2024.06.13 00:09:42 - info ] 2878200 ticks received from exchange SHFE
[2024.06.13 00:09:44 - info ] 2878400 ticks received from exchange SHFE
[2024.06.13 00:09:47 - info ] 2878600 ticks received from exchange SHFE
[2024.06.13 00:09:47 - info ] 689000 ticks received from exchange INE
[2024.06.13 00:09:50 - info ] 2878800 ticks received from exchange SHFE
[2024.06.13 00:09:52 - info ] 2879000 ticks received from exchange SHFE
[2024.06.13 00:09:55 - info ] 2879200 ticks received from exchange SHFE
[2024.06.13 00:09:57 - info ] 2879400 ticks received from exchange SHFE
[2024.06.13 00:09:58 - info ] 2879600 ticks received from exchange SHFE
[2024.06.13 00:10:01 - info ] 2879800 ticks received from exchange SHFE
[2024.06.13 00:10:03 - info ] 2880000 ticks received from exchange SHFE
[2024.06.13 00:10:03 - info ] 689200 ticks received from exchange INE
[2024.06.13 00:10:05 - info ] 2880200 ticks received from exchange SHFE
[2024.06.13 00:10:07 - info ] 2880400 ticks received from exchange SHFE
[2024.06.13 00:10:09 - info ] 2880600 ticks received from exchange SHFE
[2024.06.13 00:10:11 - info ] 2880800 ticks received from exchange SHFE
[2024.06.13 00:10:14 - info ] 2881000 ticks received from exchange SHFE
[2024.06.13 00:10:16 - info ] 2881200 ticks received from exchange SHFE
[2024.06.13 00:10:18 - info ] 689400 ticks received from exchange INE
[2024.06.13 00:10:18 - info ] 2881400 ticks received from exchange SHFE
[2024.06.13 00:10:21 - info ] 2881600 ticks received from exchange SHFE
[2024.06.13 00:10:24 - info ] 2881800 ticks received from exchange SHFE
[2024.06.13 00:10:25 - info ] 2882000 ticks received from exchange SHFE
[2024.06.13 00:10:27 - info ] 2882200 ticks received from exchange SHFE
[2024.06.13 00:10:29 - info ] 2882400 ticks received from exchange SHFE
[2024.06.13 00:10:31 - info ] 2882600 ticks received from exchange SHFE
[2024.06.13 00:10:33 - info ] 689600 ticks received from exchange INE
[2024.06.13 00:10:34 - info ] 2882800 ticks received from exchange SHFE
[2024.06.13 00:10:36 - info ] 2883000 ticks received from exchange SHFE
[2024.06.13 00:10:38 - info ] 2883200 ticks received from exchange SHFE
[2024.06.13 00:10:40 - info ] 2883400 ticks received from exchange SHFE
[2024.06.13 00:10:42 - info ] 2883600 ticks received from exchange SHFE
[2024.06.13 00:10:45 - info ] 2883800 ticks received from exchange SHFE
[2024.06.13 00:10:48 - info ] 2884000 ticks received from exchange SHFE
[2024.06.13 00:10:49 - info ] 689800 ticks received from exchange INE
[2024.06.13 00:10:50 - info ] 2884200 ticks received from exchange SHFE
[2024.06.13 00:10:52 - info ] 2884400 ticks received from exchange SHFE
[2024.06.13 00:10:55 - info ] 2884600 ticks received from exchange SHFE
[2024.06.13 00:10:57 - info ] 2884800 ticks received from exchange SHFE
[2024.06.13 00:11:00 - info ] 2885000 ticks received from exchange SHFE
[2024.06.13 00:11:02 - info ] 690000 ticks received from exchange INE
[2024.06.13 00:11:02 - info ] 2885200 ticks received from exchange SHFE
[2024.06.13 00:11:05 - info ] 2885400 ticks received from exchange SHFE
[2024.06.13 00:11:07 - info ] 2885600 ticks received from exchange SHFE
[2024.06.13 00:11:09 - info ] 2885800 ticks received from exchange SHFE
[2024.06.13 00:11:13 - info ] 2886000 ticks received from exchange SHFE
[2024.06.13 00:11:15 - info ] 2886200 ticks received from exchange SHFE
[2024.06.13 00:11:18 - info ] 2886400 ticks received from exchange SHFE
[2024.06.13 00:11:19 - info ] 690200 ticks received from exchange INE
[2024.06.13 00:11:21 - info ] 2886600 ticks received from exchange SHFE
[2024.06.13 00:11:24 - info ] 2886800 ticks received from exchange SHFE
[2024.06.13 00:11:27 - info ] 2887000 ticks received from exchange SHFE
[2024.06.13 00:11:30 - info ] 2887200 ticks received from exchange SHFE
[2024.06.13 00:11:33 - info ] 2887400 ticks received from exchange SHFE
[2024.06.13 00:11:35 - info ] 2887600 ticks received from exchange SHFE
[2024.06.13 00:11:38 - info ] 2887800 ticks received from exchange SHFE
[2024.06.13 00:11:40 - info ] 690400 ticks received from exchange INE
[2024.06.13 00:11:41 - info ] 2888000 ticks received from exchange SHFE
[2024.06.13 00:11:44 - info ] 2888200 ticks received from exchange SHFE
[2024.06.13 00:11:47 - info ] 2888400 ticks received from exchange SHFE
[2024.06.13 00:11:50 - info ] 2888600 ticks received from exchange SHFE
[2024.06.13 00:11:53 - info ] 2888800 ticks received from exchange SHFE
[2024.06.13 00:11:55 - info ] 690600 ticks received from exchange INE
[2024.06.13 00:11:57 - info ] 2889000 ticks received from exchange SHFE
[2024.06.13 00:11:59 - info ] tick cache of SHFE.ag2406 mapping expired, automatically closed
[2024.06.13 00:11:59 - info ] min1 cache of SHFE.ag2406 mapping expired, automatically closed
[2024.06.13 00:11:59 - info ] min5 cache of SHFE.ag2406 mapping expired, automatically closed
[2024.06.13 00:12:00 - info ] 2889200 ticks received from exchange SHFE
[2024.06.13 00:12:04 - info ] 2889400 ticks received from exchange SHFE
[2024.06.13 00:12:07 - info ] 2889600 ticks received from exchange SHFE
[2024.06.13 00:12:08 - info ] 690800 ticks received from exchange INE
[2024.06.13 00:12:11 - info ] 2889800 ticks received from exchange SHFE
[2024.06.13 00:12:14 - info ] 2890000 ticks received from exchange SHFE
[2024.06.13 00:12:17 - info ] 2890200 ticks received from exchange SHFE
[2024.06.13 00:12:19 - info ] 2890400 ticks received from exchange SHFE
[2024.06.13 00:12:22 - info ] 2890600 ticks received from exchange SHFE
[2024.06.13 00:12:22 - info ] 691000 ticks received from exchange INE
[2024.06.13 00:12:25 - info ] 2890800 ticks received from exchange SHFE
[2024.06.13 00:12:26 - info ] 2891000 ticks received from exchange SHFE
[2024.06.13 00:12:29 - info ] 2891200 ticks received from exchange SHFE
[2024.06.13 00:12:32 - info ] 2891400 ticks received from exchange SHFE
[2024.06.13 00:12:35 - info ] 2891600 ticks received from exchange SHFE
[2024.06.13 00:12:36 - info ] 691200 ticks received from exchange INE
[2024.06.13 00:12:38 - info ] 2891800 ticks received from exchange SHFE
[2024.06.13 00:12:41 - info ] 2892000 ticks received from exchange SHFE
[2024.06.13 00:12:44 - info ] 2892200 ticks received from exchange SHFE
[2024.06.13 00:12:47 - info ] 2892400 ticks received from exchange SHFE
[2024.06.13 00:12:50 - info ] 2892600 ticks received from exchange SHFE
[2024.06.13 00:12:51 - info ] 691400 ticks received from exchange INE
[2024.06.13 00:12:53 - info ] 2892800 ticks received from exchange SHFE
[2024.06.13 00:12:57 - info ] 2893000 ticks received from exchange SHFE
[2024.06.13 00:13:00 - info ] 2893200 ticks received from exchange SHFE
[2024.06.13 00:13:03 - info ] 2893400 ticks received from exchange SHFE
[2024.06.13 00:13:06 - info ] 2893600 ticks received from exchange SHFE
[2024.06.13 00:13:07 - info ] 691600 ticks received from exchange INE
[2024.06.13 00:13:10 - info ] 2893800 ticks received from exchange SHFE
[2024.06.13 00:13:14 - info ] 2894000 ticks received from exchange SHFE
[2024.06.13 00:13:17 - info ] 2894200 ticks received from exchange SHFE
[2024.06.13 00:13:20 - info ] 2894400 ticks received from exchange SHFE
[2024.06.13 00:13:23 - info ] 2894600 ticks received from exchange SHFE
[2024.06.13 00:13:26 - info ] 2894800 ticks received from exchange SHFE
[2024.06.13 00:13:27 - info ] 691800 ticks received from exchange INE
[2024.06.13 00:13:30 - info ] 2895000 ticks received from exchange SHFE
[2024.06.13 00:13:33 - info ] 2895200 ticks received from exchange SHFE
[2024.06.13 00:13:36 - info ] 2895400 ticks received from exchange SHFE
[2024.06.13 00:13:39 - info ] 2895600 ticks received from exchange SHFE
[2024.06.13 00:13:39 - info ] 692000 ticks received from exchange INE
[2024.06.13 00:13:42 - info ] 2895800 ticks received from exchange SHFE
[2024.06.13 00:13:46 - info ] 2896000 ticks received from exchange SHFE
[2024.06.13 00:13:49 - info ] 2896200 ticks received from exchange SHFE
[2024.06.13 00:13:52 - info ] 2896400 ticks received from exchange SHFE
[2024.06.13 00:13:53 - info ] 692200 ticks received from exchange INE
[2024.06.13 00:13:55 - info ] 2896600 ticks received from exchange SHFE
[2024.06.13 00:13:58 - info ] 2896800 ticks received from exchange SHFE
[2024.06.13 00:14:01 - info ] 2897000 ticks received from exchange SHFE
[2024.06.13 00:14:04 - info ] 2897200 ticks received from exchange SHFE
[2024.06.13 00:14:06 - info ] 2897400 ticks received from exchange SHFE
[2024.06.13 00:14:09 - info ] 2897600 ticks received from exchange SHFE
[2024.06.13 00:14:09 - info ] 692400 ticks received from exchange INE
[2024.06.13 00:14:11 - info ] 2897800 ticks received from exchange SHFE
[2024.06.13 00:14:14 - info ] 2898000 ticks received from exchange SHFE
[2024.06.13 00:14:17 - info ] 2898200 ticks received from exchange SHFE
[2024.06.13 00:14:20 - info ] 2898400 ticks received from exchange SHFE
[2024.06.13 00:14:24 - info ] 2898600 ticks received from exchange SHFE
[2024.06.13 00:14:25 - info ] 692600 ticks received from exchange INE
[2024.06.13 00:14:26 - info ] 2898800 ticks received from exchange SHFE
[2024.06.13 00:14:30 - info ] 2899000 ticks received from exchange SHFE
[2024.06.13 00:14:33 - info ] 2899200 ticks received from exchange SHFE
[2024.06.13 00:14:37 - info ] 2899400 ticks received from exchange SHFE
[2024.06.13 00:14:40 - info ] 2899600 ticks received from exchange SHFE
[2024.06.13 00:14:44 - info ] 692800 ticks received from exchange INE
[2024.06.13 00:14:44 - info ] 2899800 ticks received from exchange SHFE
[2024.06.13 00:14:48 - info ] 2900000 ticks received from exchange SHFE
[2024.06.13 00:14:51 - info ] 2900200 ticks received from exchange SHFE
[2024.06.13 00:14:54 - info ] 2900400 ticks received from exchange SHFE
[2024.06.13 00:14:58 - info ] 2900600 ticks received from exchange SHFE
[2024.06.13 00:15:00 - info ] 693000 ticks received from exchange INE
[2024.06.13 00:15:01 - info ] 2900800 ticks received from exchange SHFE
[2024.06.13 00:15:04 - info ] 2901000 ticks received from exchange SHFE
[2024.06.13 00:15:08 - info ] 2901200 ticks received from exchange SHFE
[2024.06.13 00:15:12 - info ] 2901400 ticks received from exchange SHFE
[2024.06.13 00:15:16 - info ] 2901600 ticks received from exchange SHFE
[2024.06.13 00:15:16 - info ] 693200 ticks received from exchange INE
[2024.06.13 00:15:19 - info ] 2901800 ticks received from exchange SHFE
[2024.06.13 00:15:22 - info ] 2902000 ticks received from exchange SHFE
